year,content,doi,pdf,code,data,projects,featured,people
In press,"Czarnek, G., Jasko, K., Dudek, I., Brandt, M. J., & Piotrowska, M. (in press). Beyond content: Psychological structure of political beliefs. <i>Personality and Social Psychology Bulletin</i>",,https://osf.io/kztga/files/nast7,https://osf.io/mqn6e/overview?view_only=d28220b5779f434ca430b3f854921ec0,https://osf.io/mqn6e/overview?view_only=d28220b5779f434ca430b3f854921ec0,bsd,,
In press,"Peters, K. O., Jeftić, A., Ballard, T., Zhou, S., Steffens, N. K., Inceoglu, I., Ryan, M. K., Bongiorno, R., Eagly, A., Arriaga, P., Espinosa, A., Aczel, B., Adetula, A., Aglioti, S. M., Akca. E., Direkçi, E. A., Alizadeh, Z., Alonso-Arbiol, I., Amru, M. F., Andre, J., … Brandt, M. J. …  Ziółkowski, A. (in press). Think political leader – think he or she? A Multi-Country Test of a Gender-Fair Language Intervention to Reduce Gendered Leadership Stereotypes. <i>Leadership Quarterly</i>.",,https://osf.io/kztga/files/a4my2,https://osf.io/gjv2f/overview,https://osf.io/gjv2f/overview,improve,,
2026,"Tunç, M. N., Brandt, M. J., & Zeelenberg, M. (2026). Are regret and disappointment differentially associated with norm compliant and norm deviant failures? <i>Cognition and Emotion, 40</i>, 567-583.",https://doi.org/10.1080/02699931.2025.2524870,https://osf.io/vnuxe,https://osf.io/7hd5t/?view_only,https://osf.io/7hd5t/?view_only,,,tunc
2025,"Van Noord, J., Turner-Zwinkels, F., Kesberg, R., Brandt, M. J., Easterbrook, M. J., Kuppens, T., & Spruyt, B. (2025). The nature and structure of European belief systems: Exploring the varieties of belief systems across 23 European countries. <i>European Sociological Review, 41</i>, 143-161. ",https://doi.org/10.1093/esr/jcae011,https://osf.io/9r84f,,,bsd,,turnerzwinkels
2025,"Brandt, M. J. & Vallabha, S. (2025). Intraindividual changes in political identity strength (but not direction) are associated with political animosity in the United States and the Netherlands. <i>Personality and Social Psychology Bulletin, 51</i>, 828-844.",https://doi.org/10.1177/01461672231203471,https://osf.io/xr3pw,https://osf.io/sefg9/,https://osf.io/sefg9/,experiences,,vallabha
2025,"Brandt, M. J., Vallabha, S., & Turner-Zwinkels, F. (2025). The onset of the COVID-19 pandemic made people feel threatened, but had a limited impact on political attitudes in the United States. <i>Personality and Social Psychology Bulletin, 51</i>, 284-300.",https://doi.org/10.1177/01461672231190233,https://osf.io/ahtk6,https://osf.io/279gd/   ,,,,"turnerzwinkels, vallabha"
2025,"Cassario, A. L. & Brandt, M. J. (2025). Testing theories of threat, conservatism, and individual difference: Little evidence of personality based individual differences in ideological responses to threat. <i>Social Psychological and Personality Science, 16</i>, 657-668.",https://doi.org/10.1177/19485506241284688,https://osf.io/42tvs,https://osf.io/7x2ge/,https://osf.io/7x2ge/,bsd,,cassario
2025,"Cassario, A. L., Vallabha, S., Thompson, J. L., Carrillo, A., Solanki, P., Gnall, S., Rice, S., Wetherell, G. A., & Brandt, M. J. (2025). Registered report: Cognitive ability, but not cognitive reflection predicts expressing greater political animosity and favouritism. <i>British Journal of Social Psychology, 64</i>, e12814.",https://doi.org/10.1111/bjso.12814,https://osf.io/9k4yw,https://osf.io/t68z4/?view_only=d49d4f006864411a9592b8e76400eed7,,improve,,"cassario, vallabha"
2025,"Hasan, K. F. A., Yustisia, W., Milla, M. N., & Brandt, M. J. (2025). What is the most important issue in the political belief system in Indonesia? A network analysis of attitude and voting behavior in 2014 and 2019. <i>Makara Human Behavior Studies in Asia, 29</i>, 115-136.",https://doi.org/10.7454/hubs.asia.v29.i2.1601,https://osf.io/kztga/files/cd9ma,,,bsd,,
2025,"Johnson, B. B., Brandt, M. J., Turner-Zwinkels, F., & Swedlow, B. (2025). How alike are universal values, moral foundations, cultural theory, and cultural cognition theory? A comparison of theories, concepts, and measures. <i>Social Science Quarterly, 106</i>, e70107.",http://dx.doi.org/10.1111/ssqu.70107,https://osf.io/kztga/files/zq85e,,,,,turnerzwinkels
